Umur (minggu),Perusahaan,Breeds,Konsumsi_(g/hari),Konsumsi_(g/minggu),Konsumsi/(BB^0.75)_(g/minggu),BB_(g/minggu),BB^0.75_(g/minggu),%_Ca,Konsumsi-Ca_(g/minggu),%_P-Ter.,Konsumsi_P-Tersedia_(g/minggu),%_P,Konsumsi_P_(g/minggu)
8,HG,BaB,50,350,67.82,709.5,137.47,1,0.68,0.42,0.28,0.7,0.47
9,HG,BaB,54,378,70.76,814.5,152.46,0.95,0.67,0.36,0.25,0.58,0.41
10,HG,BaB,58,406,73.76,918,166.78,0.95,0.7,0.36,0.27,0.58,0.43
11,HG,BaB,61,427,75.57,1019.5,180.42,0.95,0.72,0.36,0.27,0.58,0.44
12,HG,BaB,64,469,81.13,1117,193.21,0.95,0.77,0.36,0.29,0.58,0.47
13,HG,BaB,67,490,81.6,1211.5,216.56,0.95,0.78,0.36,0.29,0.58,0.47
14,HG,BaB,70,511,83.79,1300.5,226.85,0.95,0.8,0.36,0.3,0.58,0.49
15,HG,BaB,73,532,86.07,1383.5,236.13,0.95,0.82,0.36,0.31,0.58,0.5
16,HG,BaB,76,574,91.79,1459.5,244.58,0.95,0.87,0.36,0.33,0.58,0.53
17,HG,BaB,82,609,96.41,1529.5,252.03,2.05,1.98,0.42,0.4,0.65,0.63
18,HG,BaB,87,609,96.41,1592,252.03,2.05,1.98,0.42,0.4,0.65,0.63
19,HG,BaB,93,651,102.21,1646,258.42,2.05,2.1,0.42,0.43,0.65,0.66
20,HG,BaB,100,742,115.68,1693,263.93,2.05,2.37,0.42,0.49,0.65,0.75
21,HG,BaB,106,742,115.18,1722,267.32,2.05,2.36,0.42,0.48,0.65,0.75
22,HG,BaB,111,777,120.13,1750,270.57,2.05,2.46,0.42,0.5,0.65,0.78
23,HG,BaB,114,798,122.98,1773,273.23,2.05,2.52,0.42,0.52,0.65,0.8
24,HG,BaB,115,805,123.67,1795,275.77,2.05,2.54,0.42,0.52,0.65,0.8
25,HG,BaB,115,805,123.35,1814,277.96,2.05,2.53,0.42,0.52,0.65,0.8
26,HG,BaB,115,805,123.13,1827,279.45,2.05,2.52,0.42,0.52,0.65,0.8
27,HG,BaB,115,805,122.93,1839,280.83,2.05,2.52,0.42,0.52,0.65,0.8
28,HG,BaB,115,805,122.74,1850,282.08,2.05,2.52,0.42,0.52,0.65,0.8
29,HG,BaB,115,805,122.58,1860,283.23,2.05,2.51,0.42,0.51,0.65,0.8
30,HG,BaB,115,805,122.43,1869,284.25,2.05,2.51,0.42,0.51,0.65,0.8
31,HG,BaB,115,805,122.3,1877,285.17,2.05,2.51,0.42,0.51,0.65,0.79
32,HG,BaB,115,805,122.17,1885,286.08,2.05,2.5,0.42,0.51,0.65,0.79
33,HG,BaB,115,805,122.06,1892,286.87,2.05,2.5,0.42,0.51,0.65,0.79
34,HG,BaB,115,805,121.96,1898,287.56,2.05,2.5,0.42,0.51,0.65,0.79
35,HG,BaB,115,805,121.87,1904,288.24,2.05,2.5,0.42,0.51,0.65,0.79
8,HG,BaW,46,322,65.01,602,121.53,1,0.65,0.42,0.27,0.7,0.46
9,HG,BaW,49,343,67.02,686,134.04,0.95,0.64,0.36,0.24,0.58,0.39
10,HG,BaW,53,371,70.42,770.5,146.24,0.95,0.67,0.36,0.25,0.58,0.41
11,HG,BaW,56,392,72.5,854.5,158.05,0.95,0.69,0.36,0.26,0.58,0.42
12,HG,BaW,59,434,78.44,937,169.36,0.95,0.75,0.36,0.28,0.58,0.45
13,HG,BaW,62,455,79.1,1017.5,190.35,0.95,0.75,0.36,0.28,0.58,0.46
14,HG,BaW,65,476,81.4,1095,199.99,0.95,0.77,0.36,0.29,0.58,0.47
15,HG,BaW,68,497,83.75,1169.5,208.96,0.95,0.8,0.36,0.3,0.58,0.49
16,HG,BaW,71,518,86.18,1240,217.19,0.95,0.82,0.36,0.31,0.58,0.5
17,HG,BaW,74,546,89.81,1305.5,224.69,2.05,1.84,0.42,0.38,0.65,0.58
18,HG,BaW,78,546,89.81,1366,224.69,2.05,1.84,0.42,0.38,0.65,0.58
19,HG,BaW,86,602,98.07,1420,231.32,2.05,2.01,0.42,0.41,0.65,0.64
20,HG,BaW,92,693,111.96,1468,237.16,2.05,2.3,0.42,0.47,0.65,0.73
21,HG,BaW,99,693,111.28,1504,241.51,2.05,2.28,0.42,0.47,0.65,0.72
22,HG,BaW,105,735,117.29,1542,246.07,2.05,2.4,0.42,0.49,0.65,0.76
23,HG,BaW,108,756,120.18,1566,248.94,2.05,2.46,0.42,0.5,0.65,0.78
24,HG,BaW,110,770,122.13,1580,250.61,2.05,2.5,0.42,0.51,0.65,0.79
25,HG,BaW,110,770,121.86,1594,252.27,2.05,2.5,0.42,0.51,0.65,0.79
26,HG,BaW,111,777,122.72,1607,253.81,2.05,2.52,0.42,0.52,0.65,0.8
27,HG,BaW,111,777,122.49,1619,255.23,2.05,2.51,0.42,0.51,0.65,0.8
28,HG,BaW,111,777,122.27,1631,256.65,2.05,2.51,0.42,0.51,0.65,0.79
29,HG,BaW,112,784,123.18,1641,257.83,2.05,2.53,0.42,0.52,0.65,0.8
30,HG,BaW,112,784,122.99,1651,259.01,2.05,2.52,0.42,0.52,0.65,0.8
31,HG,BaW,112,784,122.83,1660,260.06,2.05,2.52,0.42,0.52,0.65,0.8
32,HG,BaW,112,784,122.68,1668,261,2.05,2.51,0.42,0.52,0.65,0.8
33,HG,BaW,113,791,123.63,1676,261.94,2.05,2.53,0.42,0.52,0.65,0.8
34,HG,BaW,113,791,123.5,1683,262.76,2.05,2.53,0.42,0.52,0.65,0.8
35,HG,BaW,113,791,123.37,1690,263.58,2.05,2.53,0.42,0.52,0.65,0.8
8,HG,BB,50,350,67.98,702.5,136.45,1,0.68,0.42,0.29,0.7,0.48
9,HG,BB,54,378,70.94,806,151.27,0.95,0.67,0.36,0.26,0.58,0.41
10,HG,BB,58,406,73.94,909,165.55,0.95,0.7,0.36,0.27,0.58,0.43
11,HG,BB,61,427,75.76,1009,179.03,0.95,0.72,0.36,0.27,0.58,0.44
12,HG,BB,64,469,81.32,1106.5,191.85,0.95,0.77,0.36,0.29,0.58,0.47
13,HG,BB,67,490,81.81,1199,214.87,0.95,0.78,0.36,0.29,0.58,0.47
14,HG,BB,70,511,84,1287,225.12,0.95,0.8,0.36,0.3,0.58,0.49
15,HG,BB,73,532,86.29,1369.5,234.37,0.95,0.82,0.36,0.31,0.58,0.5
16,HG,BB,76,567,90.9,1445,242.71,0.95,0.86,0.36,0.33,0.58,0.53
17,HG,BB,81,609,96.66,1514,250.13,2.05,1.98,0.42,0.41,0.65,0.63
18,HG,BB,87,609,96.66,1576,250.13,2.05,1.98,0.42,0.41,0.65,0.63
19,HG,BB,93,651,102.46,1630,256.53,2.05,2.1,0.42,0.43,0.65,0.67
20,HG,BB,100,742,115.97,1676,261.94,2.05,2.38,0.42,0.49,0.65,0.75
21,HG,BB,106,742,115.34,1713,266.27,2.05,2.36,0.42,0.48,0.65,0.75
22,HG,BB,110,770,119.05,1750,270.57,2.05,2.44,0.42,0.5,0.65,0.77
23,HG,BB,113,791,122,1767,272.54,2.05,2.5,0.42,0.51,0.65,0.79
24,HG,BB,114,798,122.82,1782,274.27,2.05,2.52,0.42,0.52,0.65,0.8
25,HG,BB,114,798,122.58,1796,275.89,2.05,2.51,0.42,0.51,0.65,0.8
26,HG,BB,114,798,122.36,1809,277.38,2.05,2.51,0.42,0.51,0.65,0.8
27,HG,BB,114,798,122.16,1821,278.76,2.05,2.5,0.42,0.51,0.65,0.79
28,HG,BB,114,798,121.99,1831,279.91,2.05,2.5,0.42,0.51,0.65,0.79
29,HG,BB,114,798,121.83,1841,281.05,2.05,2.5,0.42,0.51,0.65,0.79
30,HG,BB,114,798,121.68,1850,282.08,2.05,2.49,0.42,0.51,0.65,0.79
31,HG,BB,115,805,122.61,1858,283,2.05,2.51,0.42,0.51,0.65,0.8
32,HG,BB,115,805,122.48,1866,283.91,2.05,2.51,0.42,0.51,0.65,0.8
33,HG,BB,115,805,122.37,1873,284.71,2.05,2.51,0.42,0.51,0.65,0.8
34,HG,BB,115,805,122.27,1879,285.39,2.05,2.51,0.42,0.51,0.65,0.79
35,HG,BB,115,805,122.17,1885,286.08,2.05,2.5,0.42,0.51,0.65,0.79
8,HG,BBL,50,350,66.38,773,146.6,1,0.66,0.42,0.28,0.7,0.46
9,HG,BBL,54,378,69.26,887,162.53,0.95,0.66,0.36,0.25,0.58,0.4
10,HG,BBL,58,406,72.2,1000,177.83,0.95,0.69,0.36,0.26,0.58,0.42
11,HG,BBL,61,427,73.97,1110.5,192.37,0.95,0.7,0.36,0.27,0.58,0.43
12,HG,BBL,64,448,75.84,1217.5,206.11,0.95,0.72,0.36,0.27,0.58,0.44
13,HG,BBL,67,469,76.45,1320,230.89,0.95,0.73,0.36,0.28,0.58,0.44
14,HG,BBL,70,490,78.65,1416.5,241.81,0.95,0.75,0.36,0.28,0.58,0.46
15,HG,BBL,73,511,80.92,1506.5,251.85,0.95,0.77,0.36,0.29,0.58,0.47
16,HG,BBL,76,532,83.26,1590.5,260.83,0.95,0.79,0.36,0.3,0.58,0.48
17,HG,BBL,79,553,85.7,1666.5,268.71,2.05,1.76,0.42,0.36,0.65,0.56
18,HG,BBL,85,595,92.21,1734,268.71,2.05,1.89,0.42,0.39,0.65,0.6
19,HG,BBL,94,658,101.1,1794,275.66,2.05,2.07,0.42,0.42,0.65,0.66
20,HG,BBL,104,777,118.56,1845,281.51,2.05,2.43,0.42,0.5,0.65,0.77
21,HG,BBL,111,777,117.89,1887,286.3,2.05,2.42,0.42,0.5,0.65,0.77
22,HG,BBL,114,798,120.54,1921,290.17,2.05,2.47,0.42,0.51,0.65,0.78
23,HG,BBL,115,805,121.2,1946,292.99,2.05,2.48,0.42,0.51,0.65,0.79
24,HG,BBL,116,812,121.99,1963,294.91,2.05,2.5,0.42,0.51,0.65,0.79
25,HG,BBL,116,812,121.77,1977,296.49,2.05,2.5,0.42,0.51,0.65,0.79
26,HG,BBL,117,819,122.61,1991,298.06,2.05,2.51,0.42,0.51,0.65,0.8
27,HG,BBL,118,826,123.45,2004,299.52,2.05,2.53,0.42,0.52,0.65,0.8
28,HG,BBL,118,826,123.29,2015,300.75,2.05,2.53,0.42,0.52,0.65,0.8
29,HG,BBL,119,833,124.16,2026,301.98,2.05,2.55,0.42,0.52,0.65,0.81
30,HG,BBL,119,833,124.01,2036,303.1,2.05,2.54,0.42,0.52,0.65,0.81
31,HG,BBL,120,840,124.91,2045,304.1,2.05,2.56,0.42,0.52,0.65,0.81
32,HG,BBL,120,840,124.79,2053,304.99,2.05,2.56,0.42,0.52,0.65,0.81
33,HG,BBL,120,840,124.67,2061,305.89,2.05,2.56,0.42,0.52,0.65,0.81
34,HG,BBL,121,847,125.6,2068,306.66,2.05,2.57,0.42,0.53,0.65,0.82
35,HG,BBL,121,847,125.51,2074,307.33,2.05,2.57,0.42,0.53,0.65,0.82
8,HG,BW,42,294,59.73,587,119.26,1,0.6,0.42,0.25,0.7,0.42
9,HG,BW,47,329,64.69,669,131.54,0.95,0.61,0.36,0.23,0.58,0.38
10,HG,BW,51,357,68.18,751.5,143.53,0.95,0.65,0.36,0.25,0.58,0.4
11,HG,BW,54,378,70.36,833,155.05,0.95,0.67,0.36,0.25,0.58,0.41
12,HG,BW,57,399,72.57,914,166.23,0.95,0.69,0.36,0.26,0.58,0.42
13,HG,BW,60,420,74.83,992.5,176.83,0.95,0.71,0.36,0.27,0.58,0.43
14,HG,BW,62,434,75.9,1069,186.95,0.95,0.72,0.36,0.27,0.58,0.44
15,HG,BW,65,455,78.26,1142.5,196.51,0.95,0.74,0.36,0.28,0.58,0.45
16,HG,BW,68,476,80.68,1211.5,205.35,0.95,0.77,0.36,0.29,0.58,0.47
17,HG,BW,71,497,83.16,1276,213.5,2.05,1.7,0.42,0.35,0.65,0.54
18,HG,BW,77,539,89.16,1335.5,220.92,2.05,1.83,0.42,0.37,0.65,0.58
19,HG,BW,82,574,94.04,1388,227.4,2.05,1.93,0.42,0.39,0.65,0.61
20,HG,BW,89,665,108.05,1435,233.15,2.05,2.21,0.42,0.45,0.65,0.7
21,HG,BW,95,665,107.34,1473,237.77,2.05,2.2,0.42,0.45,0.65,0.7
22,HG,BW,101,707,113.55,1503,241.39,2.05,2.33,0.42,0.48,0.65,0.74
23,HG,BW,104,728,116.61,1519,243.31,2.05,2.39,0.42,0.49,0.65,0.76
24,HG,BW,105,735,117.42,1535,245.23,2.05,2.41,0.42,0.49,0.65,0.76
25,HG,BW,106,742,118.26,1550,247.03,2.05,2.42,0.42,0.5,0.65,0.77
26,HG,BW,106,742,117.99,1564,248.7,2.05,2.42,0.42,0.5,0.65,0.77
27,HG,BW,107,749,118.86,1577,250.25,2.05,2.44,0.42,0.5,0.65,0.77
28,HG,BW,107,749,118.63,1589,251.68,2.05,2.43,0.42,0.5,0.65,0.77
29,HG,BW,107,749,118.41,1601,253.1,2.05,2.43,0.42,0.5,0.65,0.77
30,HG,BW,108,756,119.33,1611,254.29,2.05,2.45,0.42,0.5,0.65,0.78
31,HG,BW,108,756,119.16,1620,255.35,2.05,2.44,0.42,0.5,0.65,0.77
32,HG,BW,108,756,119,1629,256.41,2.05,2.44,0.42,0.5,0.65,0.77
33,HG,BW,108,756,118.85,1637,257.36,2.05,2.44,0.42,0.5,0.65,0.77
34,HG,BW,109,763,119.81,1645,258.3,2.05,2.46,0.42,0.5,0.65,0.78
35,HG,BW,109,763,119.68,1652,259.12,2.05,2.45,0.42,0.5,0.65,0.78
8,HG,DB,50,350,67.98,702.5,136.45,1,0.68,0.42,0.29,0.7,0.48
9,HG,DB,52,364,68.32,806,151.27,0.95,0.65,0.36,0.25,0.58,0.4
10,HG,DB,58,406,73.94,909,165.55,0.95,0.7,0.36,0.27,0.58,0.43
11,HG,DB,61,427,75.76,1009,179.03,0.95,0.72,0.36,0.27,0.58,0.44
12,HG,DB,64,448,77.68,1106.5,191.85,0.95,0.74,0.36,0.28,0.58,0.45
13,HG,DB,67,469,79.7,1199,203.76,0.95,0.76,0.36,0.29,0.58,0.46
14,HG,DB,70,490,81.81,1287,214.87,0.95,0.78,0.36,0.29,0.58,0.47
15,HG,DB,73,511,84,1369.5,225.12,0.95,0.8,0.36,0.3,0.58,0.49
16,HG,DB,76,532,86.29,1445,234.37,0.95,0.82,0.36,0.31,0.58,0.5
17,HG,DB,80,560,89.78,1514,242.71,2.05,1.84,0.42,0.38,0.65,0.58
18,HG,DB,86,602,95.54,1576,250.13,2.05,1.96,0.42,0.4,0.65,0.62
19,HG,DB,92,644,101.35,1630,256.53,2.05,2.08,0.42,0.43,0.65,0.66
20,HG,DB,98,735,114.84,1678,262.18,2.05,2.35,0.42,0.48,0.65,0.75
21,HG,DB,105,735,114.25,1713,266.27,2.05,2.34,0.42,0.48,0.65,0.74
22,HG,DB,109,763,117.97,1750,270.57,2.05,2.42,0.42,0.5,0.65,0.77
23,HG,DB,112,784,120.92,1767,272.54,2.05,2.48,0.42,0.51,0.65,0.79
24,HG,DB,112,784,120.67,1782,274.27,2.05,2.47,0.42,0.51,0.65,0.78
25,HG,DB,113,791,121.51,1796,275.89,2.05,2.49,0.42,0.51,0.65,0.79
26,HG,DB,113,791,121.29,1809,277.38,2.05,2.49,0.42,0.51,0.65,0.79
27,HG,DB,113,791,121.09,1821,278.76,2.05,2.48,0.42,0.51,0.65,0.79
28,HG,DB,113,791,120.92,1831,279.91,2.05,2.48,0.42,0.51,0.65,0.79
29,HG,DB,113,791,120.76,1841,281.05,2.05,2.48,0.42,0.51,0.65,0.78
30,HG,DB,113,791,120.61,1850,282.08,2.05,2.47,0.42,0.51,0.65,0.78
31,HG,DB,113,791,120.48,1858,283,2.05,2.47,0.42,0.51,0.65,0.78
32,HG,DB,113,791,120.35,1866,283.91,2.05,2.47,0.42,0.51,0.65,0.78
33,HG,DB,113,791,120.24,1873,284.71,2.05,2.46,0.42,0.5,0.65,0.78
34,HG,DB,113,791,120.14,1879,285.39,2.05,2.46,0.42,0.5,0.65,0.78
35,HG,DB,113,791,120.05,1885,286.08,2.05,2.46,0.42,0.5,0.65,0.78
8,HG,DW,42,294,59.55,594,120.32,1,0.6,0.42,0.25,0.7,0.42
9,HG,DW,48,336,65.87,677,132.72,0.95,0.63,0.36,0.24,0.58,0.38
10,HG,DW,51,357,67.99,760,144.75,0.95,0.65,0.36,0.24,0.58,0.39
11,HG,DW,54,378,70.17,842,156.31,0.95,0.67,0.36,0.25,0.58,0.41
12,HG,DW,57,399,72.39,923,167.46,0.95,0.69,0.36,0.26,0.58,0.42
13,HG,DW,60,420,74.65,1002,178.09,0.95,0.71,0.36,0.27,0.58,0.43
14,HG,DW,63,441,76.95,1079,188.26,0.95,0.73,0.36,0.28,0.58,0.45
15,HG,DW,65,455,78.1,1152,197.74,0.95,0.74,0.36,0.28,0.58,0.45
16,HG,DW,68,476,80.52,1221.5,206.62,0.95,0.76,0.36,0.29,0.58,0.47
17,HG,DW,72,504,84.15,1287,214.87,2.05,1.73,0.42,0.35,0.65,0.55
18,HG,DW,77,539,89,1345.5,222.16,2.05,1.82,0.42,0.37,0.65,0.58
19,HG,DW,82,574,93.82,1401,229,2.05,1.92,0.42,0.39,0.65,0.61
20,HG,DW,89,672,108.9,1450,234.98,2.05,2.23,0.42,0.46,0.65,0.71
21,HG,DW,96,672,108.11,1493,240.18,2.05,2.22,0.42,0.45,0.65,0.7
22,HG,DW,102,714,114.18,1529,244.52,2.05,2.34,0.42,0.48,0.65,0.74
23,HG,DW,105,735,117.14,1550,247.03,2.05,2.4,0.42,0.49,0.65,0.76
24,HG,DW,106,742,117.93,1567,249.06,2.05,2.42,0.42,0.5,0.65,0.77
25,HG,DW,106,742,117.71,1579,250.49,2.05,2.41,0.42,0.49,0.65,0.77
26,HG,DW,107,749,118.59,1591,251.91,2.05,2.43,0.42,0.5,0.65,0.77
27,HG,DW,107,749,118.41,1601,253.1,2.05,2.43,0.42,0.5,0.65,0.77
28,HG,DW,107,749,118.22,1611,254.29,2.05,2.42,0.42,0.5,0.65,0.77
29,HG,DW,108,756,119.15,1621,255.47,2.05,2.44,0.42,0.5,0.65,0.77
30,HG,DW,108,756,118.98,1630,256.53,2.05,2.44,0.42,0.5,0.65,0.77
31,HG,DW,108,756,118.83,1638,257.48,2.05,2.44,0.42,0.5,0.65,0.77
32,HG,DW,108,756,118.69,1646,258.42,2.05,2.43,0.42,0.5,0.65,0.77
33,HG,DW,109,763,119.66,1653,259.24,2.05,2.45,0.42,0.5,0.65,0.78
34,HG,DW,109,763,119.55,1659,259.95,2.05,2.45,0.42,0.5,0.65,0.78
35,HG,DW,109,763,119.45,1665,260.65,2.05,2.45,0.42,0.5,0.65,0.78
8,HG,HB,50,350,67.98,702.5,136.45,1,0.68,0.42,0.29,0.7,0.48
9,HG,HB,52,364,68.32,806,151.27,0.95,0.65,0.36,0.25,0.58,0.4
10,HG,HB,58,406,73.94,909,165.55,0.95,0.7,0.36,0.27,0.58,0.43
11,HG,HB,61,427,75.76,1009,179.03,0.95,0.72,0.36,0.27,0.58,0.44
12,HG,HB,64,448,77.68,1106.5,191.85,0.95,0.74,0.36,0.28,0.58,0.45
13,HG,HB,67,469,79.7,1199,203.76,0.95,0.76,0.36,0.29,0.58,0.46
14,HG,HB,70,490,80.55,1369.5,225.12,0.95,0.77,0.36,0.29,0.58,0.47
15,HG,HB,73,511,82.88,1445,234.37,0.95,0.79,0.36,0.3,0.58,0.48
16,HG,HB,76,532,85.29,1514,242.71,0.95,0.81,0.36,0.31,0.58,0.49
17,HG,HB,79,553,87.77,1576,250.13,2.05,1.8,0.42,0.37,0.65,0.57
18,HG,HB,84,588,92.54,1630,256.53,2.05,1.9,0.42,0.39,0.65,0.6
19,HG,HB,93,651,101.74,1676,261.94,2.05,2.09,0.42,0.43,0.65,0.66
20,HG,HB,99,735,114.25,1713,266.27,2.05,2.34,0.42,0.48,0.65,0.74
21,HG,HB,105,735,113.64,1750,270.57,2.05,2.33,0.42,0.48,0.65,0.74
22,HG,HB,108,756,116.6,1767,272.54,2.05,2.39,0.42,0.49,0.65,0.76
23,HG,HB,111,777,119.59,1782,274.27,2.05,2.45,0.42,0.5,0.65,0.78
24,HG,HB,112,784,120.43,1796,275.89,2.05,2.47,0.42,0.51,0.65,0.78
25,HG,HB,113,791,121.29,1809,277.38,2.05,2.49,0.42,0.51,0.65,0.79
26,HG,HB,113,791,121.09,1821,278.76,2.05,2.48,0.42,0.51,0.65,0.79
27,HG,HB,113,791,120.92,1831,279.91,2.05,2.48,0.42,0.51,0.65,0.79
28,HG,HB,113,791,120.76,1841,281.05,2.05,2.48,0.42,0.51,0.65,0.78
29,HG,HB,113,791,120.61,1850,282.08,2.05,2.47,0.42,0.51,0.65,0.78
